fault_id,variant,anomaly_quantile,n_runs,mean_tpr,mean_fpr,mean_precision,mean_recall,mean_f1
cpu_hog_like,paper_fidelity_anchor,0.85,1,0.0,0.0,0.0,0.0,0.0
cpu_hog_like,screen_smooth_streak,0.85,1,0.0,0.0,0.0,0.0,0.0
cpu_hog_like,screen_threshold,0.95,1,0.0,0.0,0.0,0.0,0.0
cpu_hog_like,screen_training_topology,0.85,1,0.0,0.0,0.0,0.0,0.0
mem_leak,paper_fidelity_anchor,0.85,1,0.0,0.0,0.0,0.0,0.0
mem_leak,screen_smooth_streak,0.85,1,0.0,0.0,0.0,0.0,0.0
mem_leak,screen_threshold,0.95,1,0.0,0.0,0.0,0.0,0.0
mem_leak,screen_training_topology,0.85,1,0.0,0.0,0.0,0.0,0.0
net_hog_like_latency,paper_fidelity_anchor,0.85,1,0.0,0.0,0.0,0.0,0.0
net_hog_like_latency,screen_smooth_streak,0.85,1,0.0,0.0,0.0,0.0,0.0
net_hog_like_latency,screen_threshold,0.95,1,0.0,0.0,0.0,0.0,0.0
net_hog_like_latency,screen_training_topology,0.85,1,0.0,0.0,0.0,0.0,0.0
