run_id,variant,fault_id,fault_family,study_scope,ablation_block,hypothesis_id,interpretation_note,faithfulness_label,intensity_level,duration_level,pending_level,train_mode,repeat_idx,seed_idx,run_seed,loadgen_seed,tp,fp,fn,tn,tpr,fpr,precision,recall,f1,mean_lead_time_s,median_lead_time_s,num_scored_alarms,pending_window_s,som_smooth_k,anomaly_streak,anomaly_quantile,som_kfold,som_rows,som_cols,som_lr,som_sigma,poll_sec,bootstrap_target,expected_bootstrap_vectors,effective_bootstrap_vectors,required_bootstrap_vectors,bootstrap_vectors_ok,coverage_ok,observability_limited,top_feature,top_effect_size,degenerate_features,normal_variance_score,matching_mode
20260328T231201Z-current_default-cpu_hog_like-ilow-dshort-wl1-s01-r01,current_default,cpu_hog_like,paper_aligned,extended,decision,H-baseline-comparison,Current baseline mode for comparative ablations.,extended-beyond-paper,low,short,l1,warm_start,1,1,3963766706,3963766706,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1,1,0.99,1,20,20,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,one_to_one
20260328T231201Z-current_default-cpu_hog_like-ilow-dshort-wl1-s02-r01,current_default,cpu_hog_like,paper_aligned,extended,decision,H-baseline-comparison,Current baseline mode for comparative ablations.,extended-beyond-paper,low,short,l1,warm_start,1,2,2828703334,2828703334,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1,1,0.99,1,20,20,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,one_to_one
20260328T231201Z-current_default-cpu_hog_like-ilow-dshort-wl1-s03-r01,current_default,cpu_hog_like,paper_aligned,extended,decision,H-baseline-comparison,Current baseline mode for comparative ablations.,extended-beyond-paper,low,short,l1,warm_start,1,3,2315947389,2315947389,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1,1,0.99,1,20,20,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,one_to_one
20260328T231201Z-current_default-mem_leak-ilow-dshort-wl1-s01-r01,current_default,mem_leak,paper_aligned,extended,decision,H-baseline-comparison,Current baseline mode for comparative ablations.,extended-beyond-paper,low,short,l1,warm_start,1,1,3079659731,3079659731,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1,1,0.99,1,20,20,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,one_to_one
20260328T231201Z-current_default-mem_leak-ilow-dshort-wl1-s02-r01,current_default,mem_leak,paper_aligned,extended,decision,H-baseline-comparison,Current baseline mode for comparative ablations.,extended-beyond-paper,low,short,l1,warm_start,1,2,1969853085,1969853085,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1,1,0.99,1,20,20,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,one_to_one
20260328T231201Z-current_default-mem_leak-ilow-dshort-wl1-s03-r01,current_default,mem_leak,paper_aligned,extended,decision,H-baseline-comparison,Current baseline mode for comparative ablations.,extended-beyond-paper,low,short,l1,warm_start,1,3,2281303670,2281303670,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1,1,0.99,1,20,20,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,one_to_one
20260328T231201Z-current_default-net_hog_like_latency-ilow-dshort-wl1-s01-r01,current_default,net_hog_like_latency,paper_aligned,extended,decision,H-baseline-comparison,Current baseline mode for comparative ablations.,extended-beyond-paper,low,short,l1,warm_start,1,1,2948430192,2948430192,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1,1,0.99,1,20,20,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,one_to_one
20260328T231201Z-current_default-net_hog_like_latency-ilow-dshort-wl1-s02-r01,current_default,net_hog_like_latency,paper_aligned,extended,decision,H-baseline-comparison,Current baseline mode for comparative ablations.,extended-beyond-paper,low,short,l1,warm_start,1,2,4286505267,4286505267,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1,1,0.99,1,20,20,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,one_to_one
20260328T231201Z-current_default-net_hog_like_latency-ilow-dshort-wl1-s03-r01,current_default,net_hog_like_latency,paper_aligned,extended,decision,H-baseline-comparison,Current baseline mode for comparative ablations.,extended-beyond-paper,low,short,l1,warm_start,1,3,2633602661,2633602661,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,1,1,0.99,1,20,20,,,2.0,180,7,7,180,True,False,True,,0.0,,0.0,one_to_one
20260328T231201Z-paper_fidelity-cpu_hog_like-ilow-dshort-wl1-s01-r01,paper_fidelity,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-anchor,Paper-faithful-with-proxy anchor configuration.,paper-faithful-with-proxy,low,short,l1,fresh_bootstrap,1,1,2906855588,2906855588,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.0,5,3,0.85,3,32,32,0.7,4.0,1.0,180,15,15,180,False,False,True,,0.0,,0.0,one_to_one
