run_id,variant,fault_id,fault_family,study_scope,ablation_block,hypothesis_id,interpretation_note,faithfulness_label,intensity_level,duration_level,pending_level,train_mode,repeat_idx,seed_idx,run_seed,loadgen_seed,tp,fp,fn,tn,tpr,fpr,precision,recall,f1,mean_lead_time_s,median_lead_time_s,num_scored_alarms,pending_window_s,alarm_fp_fraction,paper_af,paper_at,paper_ntn,paper_nfp,normal_window_ticks,num_alarms_before_fault_on,prediction_target_eval,alarm_time_filter,post_bootstrap_ts,fault_on_ts,slo_proxy_ts,anomaly_quantile_level,som_smooth_k,anomaly_streak,anomaly_quantile,som_kfold,som_rows,som_cols,som_lr,som_sigma,poll_sec,bootstrap_target,expected_bootstrap_vectors,effective_bootstrap_vectors,required_bootstrap_vectors,bootstrap_vectors_ok,schedule_bootstrap_polls_ok,manifest_bootstrap_samples,manifest_bootstrap_target,learner_bootstrap_collected_ok,coverage_ok,observability_limited,top_feature,top_effect_size,degenerate_features,normal_variance_score,matching_mode,som_model_present,som_metrics_error,som_dim,som_training_steps,som_threshold_saved,som_init_trials,som_selected_fold,som_selected_init,som_validation_accuracy,som_normalization_mode,som_online_clip_mode,som_scale_mean,som_scale_std,som_scale_min,som_scale_max,som_weight_mean,som_weight_std,som_weight_frobenius,som_unit_weight_l2_mean,som_unit_weight_l2_std,som_neighbor_dist_h_mean,som_neighbor_dist_v_mean,som_umatrix_mean,som_quantization_mean_bmu_dist,som_quantization_n_samples
20260329T235958Z-paper_fidelity_research_anchor-cpu_hog_like-ihigh-dlong-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,high,long,base,fresh_bootstrap,1,1,1174600659,1174600659,1,3,0,1,1.0,0.75,0.25,1.0,0.4,7.30402398109436,7.30402398109436,4,60.0,0.75,0.034482758620689655,1.0,84,3,88,4,injection_onset,before_any_future_fault_start,1774844845.74864,1774844933.8081448,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,159606.4323232174,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,retry_rate",88766.01310990156,one_to_one,True,,9,995,2.1217412817372505,3,1,0,0.9333333333333333,train_max_100,none,8862836.989197837,25067878.323775537,0.04789442815249266,79765504.0,48.055356574940284,65.87202416760124,7827.645303528215,232.9186195122894,74.73208451411371,8.531303021576727,9.23847934774952,8.884891184663124,135.196001944026,177
20260329T235958Z-paper_fidelity_research_anchor-cpu_hog_like-ihigh-dlong-wbase-s02-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,high,long,base,fresh_bootstrap,1,2,1837608445,1837608445,1,1,0,1,1.0,0.5,0.5,1.0,0.6666666666666666,2.2285566329956055,2.2285566329956055,2,60.0,0.5,0.012195121951219513,1.0,81,1,83,2,injection_onset,before_any_future_fault_start,1774845669.03404,1774845752.751765,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,req_rate,1.2601915589876387,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,proc_open_fds,retry_rate",0.14640043607653788,one_to_one,True,,9,990,4.032171523140053,3,1,2,0.9333333333333333,train_max_100,none,8916540.099456634,25219773.6602268,0.048049202799220835,80248832.0,46.9396847027866,59.603357836744244,7283.290571578001,217.93929569425686,65.61639872013149,12.217873051144887,12.521151882475172,12.36951246681003,6.7896893978313715,34
20260329T235958Z-paper_fidelity_research_anchor-cpu_hog_like-ihigh-dshort-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,high,short,base,fresh_bootstrap,1,1,3171894341,3171894341,1,1,0,1,1.0,0.5,0.5,1.0,0.6666666666666666,4.044951438903809,4.044951438903809,2,60.0,0.5,0.011363636363636364,1.0,87,1,89,2,injection_onset,before_any_future_fault_start,1774843691.7182531,1774843780.7964349,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,124921.6984615326,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_open_fds,retry_rate",22757.764345112173,one_to_one,True,,9,985,2.3129455808846426,3,1,1,0.9333333333333333,train_max_100,none,8868298.320535922,25083325.307818245,0.047992646286374625,79814656.0,49.1429791180879,70.71053604642968,8266.604708038016,241.2834022980635,92.28992640932773,9.592525445039897,9.073306215500853,9.332915830270377,11.4151287255325,46
20260329T235958Z-paper_fidelity_research_anchor-cpu_hog_like-ihigh-dshort-wbase-s02-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,high,short,base,fresh_bootstrap,1,2,1258285531,1258285531,1,5,0,1,1.0,0.8333333333333334,0.16666666666666666,1.0,0.2857142857142857,11.166191816329956,11.166191816329956,6,60.0,0.8333333333333334,0.06172839506172839,1.0,76,5,82,6,injection_onset,before_any_future_fault_start,1774844272.265119,1774844355.1804318,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,211143.97306396067,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,retry_rate",68798.56915599368,one_to_one,True,,9,987,1.782386607129761,3,1,0,0.9166666666666666,train_max_100,none,8886502.766962534,25134815.251575045,0.04784055939027898,79978496.0,46.28987340645149,57.35136831103091,7075.35749760082,215.2326876659707,50.61893523453584,8.785690594761906,8.999070576170352,8.89238058546613,21.85236649984927,60
20260329T235958Z-paper_fidelity_research_anchor-cpu_hog_like-ilow-dlong-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,low,long,base,fresh_bootstrap,1,1,730148458,730148458,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,86,0,86,0,injection_onset,before_any_future_fault_start,1774842035.651944,1774842121.828487,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,155241.3049645424,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,proc_open_fds,retry_rate",0.00801842850556105,one_to_one,True,,9,990,4.040203134961151,3,1,1,0.9166666666666666,train_max_100,none,8826883.282747434,24966185.65825378,0.05362499999999998,79441920.0,42.28170372445899,47.853347404420695,6130.24860667433,191.18412518529155,12.157229371642202,1.8538487549948552,2.2752010863985164,2.064524920696686,8.299174725062782,158
20260329T235958Z-paper_fidelity_research_anchor-cpu_hog_like-ilow-dlong-wbase-s02-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,low,long,base,fresh_bootstrap,1,2,1964470466,1964470466,1,3,0,1,1.0,0.75,0.25,1.0,0.4,7.954978704452515,7.954978704452515,4,60.0,0.75,0.03488372093023256,1.0,83,3,87,4,injection_onset,before_any_future_fault_start,1774842865.000522,1774842952.4458299,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,405296.2722940743,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,retry_rate",136950.65077241193,one_to_one,True,,9,1005,3.0478883856225396,3,1,0,0.9166666666666666,train_max_100,none,8916995.21458189,25221060.907419026,0.047772257383966246,80252928.0,43.3676892094359,49.63904637105284,6327.8430344481885,197.02174864758905,16.898316122917674,2.2024112607805226,2.4636280447533205,2.3330196527669216,19.880543841334735,139
20260329T235958Z-paper_fidelity_research_anchor-cpu_hog_like-ilow-dshort-wbase-s01-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,low,short,base,fresh_bootstrap,1,1,3149888275,3149888275,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.0,0.0,0.0,0.0,87,0,87,0,injection_onset,before_any_future_fault_start,1774840857.5210948,1774840945.0250921,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,79556608.0,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,proc_open_fds,retry_rate",0.020743201097111717,one_to_one,True,,9,983,2.054167500544952,3,1,0,0.9333333333333333,train_max_100,none,8839626.328487782,25002228.642486118,0.04665441176470588,79556608.0,43.29938319100779,49.363547545710006,6303.62376129428,196.18126467808509,17.812329675840317,1.9333810048524709,2.1756742038513814,2.054527604351926,1.3674296190663224,21
20260329T235958Z-paper_fidelity_research_anchor-cpu_hog_like-ilow-dshort-wbase-s02-r01,paper_fidelity_research_anchor,cpu_hog_like,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,low,short,base,fresh_bootstrap,1,2,4190434213,4190434213,1,0,0,1,1.0,0.0,1.0,1.0,1.0,1.1647586822509766,1.1647586822509766,1,60.0,0.0,0.0,1.0,89,0,90,1,injection_onset,before_any_future_fault_start,1774841445.705888,1774841536.439401,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,req_rate,0.3047497705837392,"db_inflight,disk_fill_mb,leak_mb,open_fds_sim,proc_mem_bytes,proc_open_fds,retry_rate",0.004204220786680561,one_to_one,True,,9,981,3.2347784768998906,3,1,1,0.9333333333333333,train_max_100,none,8856465.437651869,25049856.84179777,0.04774350649350649,79708160.0,42.925883722279195,48.843818879798405,6242.4734564360415,194.34587035715148,16.87702284266801,1.9173335466010983,1.8749262480533542,1.8961298973272263,1.59586822931964,38
20260329T235958Z-paper_fidelity_research_anchor-mem_leak-ihigh-dlong-wbase-s01-r01,paper_fidelity_research_anchor,mem_leak,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,high,long,base,fresh_bootstrap,1,1,58641555,58641555,1,4,0,1,1.0,0.8,0.2,1.0,0.33333333333333337,18.119251012802124,18.119251012802124,5,60.0,0.8,0.04395604395604396,1.0,87,4,92,5,injection_onset,before_any_future_fault_start,1774839214.4501388,1774839306.989889,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,671753060.8484848,"db_inflight,disk_fill_mb,open_fds_sim,proc_open_fds,retry_rate",26951254.909196313,one_to_one,True,,9,1000,2.7648626824535936,3,1,1,0.9333333333333333,train_max_100,none,8871028.995986585,25091048.796381276,0.047515625000000006,79839232.0,182.59548457991923,1606.0415376690582,155173.25884383274,1408.0921771841904,4640.223184925378,218.70707830699246,210.02306584752722,214.36507207725987,39593.5322190883,149
20260329T235958Z-paper_fidelity_research_anchor-mem_leak-ihigh-dlong-wbase-s02-r01,paper_fidelity_research_anchor,mem_leak,paper_aligned,paper_faithful,decision,H-paper-learner-fixed,Paper-faithful-with-proxy learner; only fault geometry changes across cells.,paper-faithful-with-proxy,high,long,base,fresh_bootstrap,1,2,1129553201,1129553201,1,4,0,1,1.0,0.8,0.2,1.0,0.33333333333333337,9.072169780731201,9.072169780731201,5,60.0,0.8,0.046511627906976744,1.0,82,4,87,5,injection_onset,before_any_future_fault_start,1774840041.951071,1774840129.1169422,,base,5,3,0.85,3,32,32,0.7,4.0,1.0,180,240,240,180,True,True,180,180,True,True,False,proc_mem_bytes,484528280.9173333,"db_inflight,disk_fill_mb,open_fds_sim,proc_open_fds,retry_rate",29474736.115558695,one_to_one,True,,9,988,1.6560905900600096,3,1,2,0.9,train_max_100,none,8860561.440751562,25061442.07820483,0.04681974193548387,79745024.0,225.37108342883064,1946.4413566578405,188106.75361267157,1786.7183936457811,5600.220719149642,302.0447421596162,253.94747001857118,277.99610608909364,42234.50998501809,155
